Ac,0.439215686,0.670588235,0.980392157
Al,0.749019608,0.650980392,0.650980392
Am,0.329411765,0.360784314,0.949019608
Sb,0.619607843,0.388235294,0.709803922
Ar,0.501960784,0.819607843,0.890196078
As,0.741176471,0.501960784,0.890196078
At,0.458823529,0.309803922,0.270588235
Ba,0,0.788235294,0
Bk,0.541176471,0.309803922,0.890196078
Be,0.760784314,1,0
Bi,0.619607843,0.309803922,0.709803922
Bh,0.878431373,0,0.219607843
B,1,0.709803922,0.709803922
Br,0.650980392,0.160784314,0.160784314
Cd,1,0.850980392,0.560784314
Ca,0.239215686,1,0
Cf,0.631372549,0.211764706,0.831372549
C,0.2,1,0.2
Ce,1,1,0.780392157
Cs,0.341176471,0.090196078,0.560784314
Cl,0.121568627,0.941176471,0.121568627
Cr,0.541176471,0.6,0.780392157
Co,0.941176471,0.564705882,0.62745098
Cn,0.784313725,0.501960784,0.2
Cu,0.470588235,0.360784314,0.890196078
Ds,0.9,0.9,0.9
Db,0.819607843,0,0.309803922
Dy,0.121568627,1,0.780392157
Es,0.701960784,0.121568627,0.831372549
Er,0,0.901960784,0.458823529
Eu,0.380392157,1,0.780392157
Fm,0.701960784,0.121568627,0.729411765
F,0.701960784,1,1
Fr,0.258823529,0,0.4
Gd,0.270588235,1,0.780392157
Ga,0.760784314,0.560784314,0.560784314
Ge,0.4,0.560784314,0.560784314
Au,1,0.819607843,0.137254902
Hf,0.301960784,0.760784314,1
Hs,0.901960784,0,0.180392157
He,0.850980392,1,1
Ho,0,1,0.611764706
H,0.9,0.9,0.9
In,0.650980392,0.458823529,0.450980392
I,0.580392157,0,0.580392157
Ir,0.090196078,0.329411765,0.529411765
Fe,0.878431373,0.4,0.2
Kr,0.360784314,0.721568627,0.819607843
La,0.439215686,0.831372549,1
Lr,0.780392157,0,0.4
Pb,0.341176471,0.349019608,0.380392157
Li,0.8,0.501960784,1
Lu,0,0.670588235,0.141176471
Mg,0.541176471,1,0
Mn,0.611764706,0.478431373,0.780392157
Mt,0.921568627,0,0.149019608
Md,0.701960784,0.050980392,0.650980392
Hg,0.721568627,0.721568627,0.815686275
Mo,0.329411765,0.709803922,0.709803922
Nd,0.780392157,1,0.780392157
Ne,0.701960784,0.890196078,0.960784314
Np,0,0.501960784,1
Ni,0.31372549,0.815686275,0.31372549
Nb,0.450980392,0.760784314,0.788235294
N,0.2,0.2,1
No,0.741176471,0.050980392,0.529411765
Os,0.149019608,0.4,0.588235294
O,1,0.3,0.3
Pd,0,0.411764706,0.521568627
P,1,0.501960784,0
Pt,0.815686275,0.815686275,0.878431373
Pu,0,0.419607843,1
Po,0.670588235,0.360784314,0
K,0.560784314,0.250980392,0.831372549
Pr,0.850980392,1,0.780392157
Pm,0.639215686,1,0.780392157
Pa,0,0.631372549,1
Ra,0,0.490196078,0
Rn,0.258823529,0.509803922,0.588235294
Re,0.149019608,0.490196078,0.670588235
Rh,0.039215686,0.490196078,0.549019608
Rb,0.439215686,0.180392157,0.690196078
Ru,0.141176471,0.560784314,0.560784314
Rf,0.8,0,0.349019608
Sm,0.560784314,1,0.780392157
Sc,0.901960784,0.901960784,0.901960784
Sg,0.850980392,0,0.270588235
Se,1,0.631372549,0
Si,0.941176471,0.784313725,0.62745098
Ag,0.752941176,0.752941176,0.752941176
Na,0.670588235,0.360784314,0.949019608
Sr,0,1,0
S,0.9,0.775,0.25
Ta,0.301960784,0.650980392,1
Tc,0.231372549,0.619607843,0.619607843
Te,0.831372549,0.478431373,0
Tb,0.188235294,1,0.780392157
Tl,0.650980392,0.329411765,0.301960784
Th,0,0.729411765,1
Tm,0,0.831372549,0.321568627
Sn,0.4,0.501960784,0.501960784
Ti,0.749019608,0.760784314,0.780392157
W,0.129411765,0.580392157,0.839215686
U,0,0.560784314,1
V,0.650980392,0.650980392,0.670588235
Xe,0.258823529,0.619607843,0.690196078
Yb,0,0.749019608,0.219607843
Y,0.580392157,1,1
Zn,0.490196078,0.501960784,0.690196078
Zr,0.580392157,0.878431373,0.878431373
